state (Emission order)	H3K27me3	H3K4me3	H3K27ac	PolII	ATAC	H3K4me1	CTCF
1	0.8971438104845822	0.36862885107184046	0.032670742408631825	0.07931076348042236	0.10604275176377821	0.594727602574966	0.12748878155092658
2	0.4608329900779914	1.710513248420938E-5	1.1313266798290885E-4	0.005988724192987742	0.00633458066828592	0.0060612293644243306	0.00647733753292875
3	0.0035208995659077955	1.1794491724414864E-4	1.433670415624408E-4	0.0030248174961295922	0.0020891374106499004	8.669788931396568E-4	9.316824070896574E-4
4	0.0014305826129481657	2.450364661577365E-4	0.0046662497630466735	0.3094011632044359	0.004135519370017142	0.014409644180354468	0.009128105297138646
5	0.002966993263250081	0.026173346754068107	0.208452833561123	0.7257655153413615	0.06243398619026726	0.7587891683586998	0.07333276894752509
6	0.008128832736565445	0.0015368293167977484	0.02352666959067566	0.025409177132103677	0.005913177469023571	0.7190758871435363	0.016758830904101765
7	0.0016029138063014942	0.028580682090548697	0.889088572107558	0.05507366220001816	0.052501027847784654	0.9456111254116619	0.03628152197115143
8	6.80183942943568E-4	0.0021038932884425627	0.3760498233798162	0.01355118258899644	0.012472183523414719	0.08992967514166714	0.0046527083647095405
9	6.89131143129886E-4	0.23406747609164644	0.8537224092140471	0.6202554657790412	0.7244925499409398	0.8679100866493523	0.14295344584001662
10	0.0035528904357185255	0.02558113988953812	0.049567656706134146	0.13241709529688786	0.9560082126385842	0.7344343684915146	0.07159514020705364
11	0.01305522936776411	0.9434386252323691	0.12765509914279222	0.05298684350930746	0.12385682395061279	0.6383217901040549	0.10042375388197772
12	0.022099706691672546	0.9918313164044856	0.9186517790828294	0.4115806685870974	0.2528228983407318	0.9592761019275351	0.1677366705961409
13	0.010288678863641588	0.9886666578942755	0.9472582671804375	0.4247531640204839	0.4532990143208009	0.01983250214548017	0.18801965904292547
14	0.01944094051465812	0.009532191764508185	0.007984512624168716	0.027609567654792593	0.12949203796643938	0.13448098068591538	0.9002152231341116
