14	7	E	-1.851901320137435E7	200
probinit	1	0.0
probinit	2	1.9233721327069656E-264
probinit	3	0.9599999980528352
probinit	4	1.384216174362397E-293
probinit	5	0.0
probinit	6	3.0733766497158656E-252
probinit	7	0.0
probinit	8	4.3721863833276655E-212
probinit	9	0.0
probinit	10	0.0
probinit	11	0.0
probinit	12	0.0400000019471648
probinit	13	0.0
probinit	14	5.366E-320
transitionprobs	1	1	0.8143332272806773
transitionprobs	1	2	0.14772834811768598
transitionprobs	1	3	1.3802830409002012E-4
transitionprobs	1	4	0.0013727899698043344
transitionprobs	1	5	3.7339409422929617E-4
transitionprobs	1	6	0.014979412944520475
transitionprobs	1	7	4.230448859751734E-4
transitionprobs	1	8	1.8228317371838212E-4
transitionprobs	1	9	6.553381120355001E-5
transitionprobs	1	10	0.0017289256228826331
transitionprobs	1	11	0.01232750536333551
transitionprobs	1	12	0.0015427067862195838
transitionprobs	1	13	0.001551578625959675
transitionprobs	1	14	0.0032532210196978906
transitionprobs	2	1	0.013622954996386544
transitionprobs	2	2	0.9382267451166336
transitionprobs	2	3	0.04152678529074628
transitionprobs	2	4	5.633730631601079E-5
transitionprobs	2	5	0.0
transitionprobs	2	6	0.0027269689677848017
transitionprobs	2	7	0.0
transitionprobs	2	8	2.96567198559391E-6
transitionprobs	2	9	0.0
transitionprobs	2	10	5.6160373067799564E-5
transitionprobs	2	11	1.860991855010842E-4
transitionprobs	2	12	0.0
transitionprobs	2	13	0.0
transitionprobs	2	14	0.0035949830915786053
transitionprobs	3	1	2.0354639058547304E-6
transitionprobs	3	2	0.002279180448889352
transitionprobs	3	3	0.9843306843406676
transitionprobs	3	4	3.796647998863792E-4
transitionprobs	3	5	0.0
transitionprobs	3	6	0.00825092547893747
transitionprobs	3	7	1.2447510297157997E-4
transitionprobs	3	8	9.782003243304057E-4
transitionprobs	3	9	0.0
transitionprobs	3	10	4.805996440380854E-4
transitionprobs	3	11	5.149551062383637E-4
transitionprobs	3	12	1.2187166206447165E-5
transitionprobs	3	13	9.492801570587029E-6
transitionprobs	3	14	0.0026375993223580153
transitionprobs	4	1	3.070510549424063E-4
transitionprobs	4	2	1.387578072878416E-4
transitionprobs	4	3	0.017758170631710434
transitionprobs	4	4	0.9502940069539858
transitionprobs	4	5	0.020950785244857235
transitionprobs	4	6	0.005135688815278097
transitionprobs	4	7	0.0
transitionprobs	4	8	0.0020313201718266775
transitionprobs	4	9	0.0
transitionprobs	4	10	0.0
transitionprobs	4	11	7.510924270900419E-4
transitionprobs	4	12	9.452950097846458E-5
transitionprobs	4	13	1.1854491362650516E-5
transitionprobs	4	14	0.002526742900680408
transitionprobs	5	1	3.965763557193634E-4
transitionprobs	5	2	0.0
transitionprobs	5	3	0.0
transitionprobs	5	4	0.11226141128956015
transitionprobs	5	5	0.8311706848994733
transitionprobs	5	6	0.019817044303995637
transitionprobs	5	7	0.004488969186013802
transitionprobs	5	8	0.00266127024444074
transitionprobs	5	9	0.01175840289903704
transitionprobs	5	10	0.0
transitionprobs	5	11	0.0018656038507372168
transitionprobs	5	12	0.014736187916782677
transitionprobs	5	13	8.83687092933091E-5
transitionprobs	5	14	7.554803449468019E-4
transitionprobs	6	1	0.0017946252326837124
transitionprobs	6	2	0.0033302707175131723
transitionprobs	6	3	0.18949927959413096
transitionprobs	6	4	0.0026977472176592265
transitionprobs	6	5	0.0018157156502137033
transitionprobs	6	6	0.6977835122370123
transitionprobs	6	7	0.029995026944477476
transitionprobs	6	8	0.004239289993925718
transitionprobs	6	9	3.461385968324871E-4
transitionprobs	6	10	0.04596842031360058
transitionprobs	6	11	0.015303151144514941
transitionprobs	6	12	0.002256673229585514
transitionprobs	6	13	0.0
transitionprobs	6	14	0.004970149127850337
transitionprobs	7	1	1.9099771056885778E-4
transitionprobs	7	2	0.0
transitionprobs	7	3	0.010596479545129961
transitionprobs	7	4	1.9475858251746204E-6
transitionprobs	7	5	0.0015992040421287678
transitionprobs	7	6	0.10458162165471775
transitionprobs	7	7	0.6477101600530505
transitionprobs	7	8	0.09678559420540712
transitionprobs	7	9	0.0945896680135011
transitionprobs	7	10	0.02156377180176374
transitionprobs	7	11	2.734548471886023E-6
transitionprobs	7	12	0.020722108716656498
transitionprobs	7	13	5.6604316573873814E-5
transitionprobs	7	14	0.001599107806204917
transitionprobs	8	1	9.772440823105346E-5
transitionprobs	8	2	2.972682019918915E-5
transitionprobs	8	3	0.10315807261500087
transitionprobs	8	4	0.004782855978238123
transitionprobs	8	5	0.001187448077654412
transitionprobs	8	6	0.02100239434256044
transitionprobs	8	7	0.12675172207848562
transitionprobs	8	8	0.7266022437016217
transitionprobs	8	9	0.0028686737802673815
transitionprobs	8	10	0.0028384897478756052
transitionprobs	8	11	7.134791344497911E-4
transitionprobs	8	12	0.003674445150595989
transitionprobs	8	13	0.0025674760508337044
transitionprobs	8	14	0.003725248113985777
transitionprobs	9	1	2.3042512033257813E-4
transitionprobs	9	2	0.0
transitionprobs	9	3	0.0
transitionprobs	9	4	0.0
transitionprobs	9	5	0.011527413795585834
transitionprobs	9	6	0.003421696255593786
transitionprobs	9	7	0.30474597908528966
transitionprobs	9	8	0.007392418925860533
transitionprobs	9	9	0.6282700184268932
transitionprobs	9	10	0.01625068474802949
transitionprobs	9	11	0.0
transitionprobs	9	12	0.026413714367873552
transitionprobs	9	13	1.5563038801935092E-4
transitionprobs	9	14	0.001592018886522012
transitionprobs	10	1	0.0019706459833844
transitionprobs	10	2	0.0010668966498263229
transitionprobs	10	3	0.105779578854511
transitionprobs	10	4	7.808759353263832E-5
transitionprobs	10	5	0.0
transitionprobs	10	6	0.44721178243323206
transitionprobs	10	7	0.05921333908060355
transitionprobs	10	8	0.005668626784841614
transitionprobs	10	9	0.014236145565929106
transitionprobs	10	10	0.3499723087203774
transitionprobs	10	11	0.007169168688014944
transitionprobs	10	12	0.004063809443727106
transitionprobs	10	13	2.4331207820296226E-4
transitionprobs	10	14	0.0033262981238169143
transitionprobs	11	1	0.009622242112003155
transitionprobs	11	2	0.001538350796172462
transitionprobs	11	3	0.07968763623502992
transitionprobs	11	4	0.0026649266144660477
transitionprobs	11	5	0.0014870277762553698
transitionprobs	11	6	0.10652586763024917
transitionprobs	11	7	0.0
transitionprobs	11	8	7.296856388947856E-4
transitionprobs	11	9	0.0
transitionprobs	11	10	0.005266584886832085
transitionprobs	11	11	0.6474476985723966
transitionprobs	11	12	0.05488477780893606
transitionprobs	11	13	0.08112111228366675
transitionprobs	11	14	0.009024089645097638
transitionprobs	12	1	0.00164536240593306
transitionprobs	12	2	0.0
transitionprobs	12	3	0.00221123553920726
transitionprobs	12	4	3.792149833682128E-4
transitionprobs	12	5	0.01405220232619493
transitionprobs	12	6	0.023454749574750727
transitionprobs	12	7	0.06019420810783948
transitionprobs	12	8	0.010077288809152568
transitionprobs	12	9	0.023031702707118268
transitionprobs	12	10	0.0043373833979235355
transitionprobs	12	11	0.084450064413094
transitionprobs	12	12	0.6507750967701847
transitionprobs	12	13	0.12325488144101257
transitionprobs	12	14	0.002136609524220667
transitionprobs	13	1	0.0014046349451077862
transitionprobs	13	2	0.0
transitionprobs	13	3	0.0014466348265929111
transitionprobs	13	4	8.715420772934493E-5
transitionprobs	13	5	0.0
transitionprobs	13	6	0.0
transitionprobs	13	7	2.187198880735701E-4
transitionprobs	13	8	0.00388065208533341
transitionprobs	13	9	7.362937032180945E-5
transitionprobs	13	10	1.474054762040621E-4
transitionprobs	13	11	0.08501620565832058
transitionprobs	13	12	0.08441206556319132
transitionprobs	13	13	0.8225132945865807
transitionprobs	13	14	7.996033925443785E-4
transitionprobs	14	1	0.002702423941492603
transitionprobs	14	2	0.02837006074987451
transitionprobs	14	3	0.38160924418640413
transitionprobs	14	4	0.007746602557595955
transitionprobs	14	5	3.127261097515839E-4
transitionprobs	14	6	0.03137688191800122
transitionprobs	14	7	0.0029371332402458564
transitionprobs	14	8	0.004868076733746689
transitionprobs	14	9	9.676395630662465E-4
transitionprobs	14	10	0.0018744311135271247
transitionprobs	14	11	0.007883525893184291
transitionprobs	14	12	9.919713727188206E-4
transitionprobs	14	13	5.975893543468255E-4
transitionprobs	14	14	0.5277616932660439
emissionprobs	1	0	ATAC	0	0.8939572482362218
emissionprobs	1	0	ATAC	1	0.10604275176377821
emissionprobs	1	1	CTCF	0	0.8725112184490734
emissionprobs	1	1	CTCF	1	0.12748878155092658
emissionprobs	1	2	H3K27ac	0	0.9673292575913682
emissionprobs	1	2	H3K27ac	1	0.032670742408631825
emissionprobs	1	3	H3K27me3	0	0.10285618951541767
emissionprobs	1	3	H3K27me3	1	0.8971438104845822
emissionprobs	1	4	H3K4me1	0	0.40527239742503396
emissionprobs	1	4	H3K4me1	1	0.594727602574966
emissionprobs	1	5	H3K4me3	0	0.6313711489281595
emissionprobs	1	5	H3K4me3	1	0.36862885107184046
emissionprobs	1	6	PolII	0	0.9206892365195776
emissionprobs	1	6	PolII	1	0.07931076348042236
emissionprobs	2	0	ATAC	0	0.993665419331714
emissionprobs	2	0	ATAC	1	0.00633458066828592
emissionprobs	2	1	CTCF	0	0.9935226624670713
emissionprobs	2	1	CTCF	1	0.00647733753292875
emissionprobs	2	2	H3K27ac	0	0.9998868673320171
emissionprobs	2	2	H3K27ac	1	1.1313266798290885E-4
emissionprobs	2	3	H3K27me3	0	0.5391670099220087
emissionprobs	2	3	H3K27me3	1	0.4608329900779914
emissionprobs	2	4	H3K4me1	0	0.9939387706355757
emissionprobs	2	4	H3K4me1	1	0.0060612293644243306
emissionprobs	2	5	H3K4me3	0	0.9999828948675158
emissionprobs	2	5	H3K4me3	1	1.710513248420938E-5
emissionprobs	2	6	PolII	0	0.9940112758070123
emissionprobs	2	6	PolII	1	0.005988724192987742
emissionprobs	3	0	ATAC	0	0.9979108625893501
emissionprobs	3	0	ATAC	1	0.0020891374106499004
emissionprobs	3	1	CTCF	0	0.9990683175929103
emissionprobs	3	1	CTCF	1	9.316824070896574E-4
emissionprobs	3	2	H3K27ac	0	0.9998566329584375
emissionprobs	3	2	H3K27ac	1	1.433670415624408E-4
emissionprobs	3	3	H3K27me3	0	0.9964791004340923
emissionprobs	3	3	H3K27me3	1	0.0035208995659077955
emissionprobs	3	4	H3K4me1	0	0.9991330211068603
emissionprobs	3	4	H3K4me1	1	8.669788931396568E-4
emissionprobs	3	5	H3K4me3	0	0.9998820550827558
emissionprobs	3	5	H3K4me3	1	1.1794491724414864E-4
emissionprobs	3	6	PolII	0	0.9969751825038705
emissionprobs	3	6	PolII	1	0.0030248174961295922
emissionprobs	4	0	ATAC	0	0.9958644806299828
emissionprobs	4	0	ATAC	1	0.004135519370017142
emissionprobs	4	1	CTCF	0	0.9908718947028614
emissionprobs	4	1	CTCF	1	0.009128105297138646
emissionprobs	4	2	H3K27ac	0	0.9953337502369533
emissionprobs	4	2	H3K27ac	1	0.0046662497630466735
emissionprobs	4	3	H3K27me3	0	0.9985694173870518
emissionprobs	4	3	H3K27me3	1	0.0014305826129481657
emissionprobs	4	4	H3K4me1	0	0.9855903558196456
emissionprobs	4	4	H3K4me1	1	0.014409644180354468
emissionprobs	4	5	H3K4me3	0	0.9997549635338422
emissionprobs	4	5	H3K4me3	1	2.450364661577365E-4
emissionprobs	4	6	PolII	0	0.6905988367955641
emissionprobs	4	6	PolII	1	0.3094011632044359
emissionprobs	5	0	ATAC	0	0.9375660138097327
emissionprobs	5	0	ATAC	1	0.06243398619026726
emissionprobs	5	1	CTCF	0	0.926667231052475
emissionprobs	5	1	CTCF	1	0.07333276894752509
emissionprobs	5	2	H3K27ac	0	0.7915471664388769
emissionprobs	5	2	H3K27ac	1	0.208452833561123
emissionprobs	5	3	H3K27me3	0	0.9970330067367499
emissionprobs	5	3	H3K27me3	1	0.002966993263250081
emissionprobs	5	4	H3K4me1	0	0.24121083164130028
emissionprobs	5	4	H3K4me1	1	0.7587891683586998
emissionprobs	5	5	H3K4me3	0	0.9738266532459319
emissionprobs	5	5	H3K4me3	1	0.026173346754068107
emissionprobs	5	6	PolII	0	0.27423448465863853
