state (Emission order)	Genome %	DNase.h1ESC.hg19.bed.gz	TF_Atf2.h1ESC.hg19.bed.gz	TF_Atf3.h1ESC.hg19.bed.gz	TF_Bach1.h1ESC.hg19.bed.gz	TF_Bcl11a.h1ESC.hg19.bed.gz	TF_Brca1.h1ESC.hg19.bed.gz	TF_Cebpb.h1ESC.hg19.bed.gz	TF_Chd1.h1ESC.hg19.bed.gz	TF_Chd2.h1ESC.hg19.bed.gz	TF_Cjun.h1ESC.hg19.bed.gz	TF_Cmyc.h1ESC.hg19.bed.gz	TF_Ctbp2.h1ESC.hg19.bed.gz	TF_Ctcf.h1ESC.hg19.bed.gz	TF_Egr1.h1ESC.hg19.bed.gz	TF_Ezh.h1ESC.hg19.bed.gz	TF_Fosl1.h1ESC.hg19.bed.gz	TF_Gabp.h1ESC.hg19.bed.gz	TF_Gtf2f1.h1ESC.hg19.bed.gz	TF_Hdac2.h1ESC.hg19.bed.gz	TF_Jarid1.h1ESC.hg19.bed.gz	TF_Jund.h1ESC.hg19.bed.gz	TF_Mafk.h1ESC.hg19.bed.gz	TF_Max.h1ESC.hg19.bed.gz	TF_Mxi1.h1ESC.hg19.bed.gz	TF_Nanog.h1ESC.hg19.bed.gz	TF_Nrf1.h1ESC.hg19.bed.gz	TF_Nrsf.h1ESC.hg19.bed.gz	TF_P300.h1ESC.hg19.bed.gz	TF_Pol2.h1ESC.hg19.bed.gz	TF_Pol24h8.h1ESC.hg19.bed.gz	TF_Pou5f1.h1ESC.hg19.bed.gz	TF_Rad21.h1ESC.hg19.bed.gz	TF_Rbbp5.h1ESC.hg19.bed.gz	TF_Rfx5.h1ESC.hg19.bed.gz	TF_Rxra.h1ESC.hg19.bed.gz	TF_Sin3a.h1ESC.hg19.bed.gz	TF_Six5.h1ESC.hg19.bed.gz	TF_Sp1.h1ESC.hg19.bed.gz	TF_Sp2.h1ESC.hg19.bed.gz	TF_Sp4.h1ESC.hg19.bed.gz	TF_Srf.h1ESC.hg19.bed.gz	TF_Suz12.h1ESC.hg19.bed.gz	TF_Taf1.h1ESC.hg19.bed.gz	TF_Taf7.h1ESC.hg19.bed.gz	TF_Tbp.h1ESC.hg19.bed.gz	TF_Tcf12.h1ESC.hg19.bed.gz	TF_Tead4.h1ESC.hg19.bed.gz	TF_Usf1.h1ESC.hg19.bed.gz	TF_Usf2.h1ESC.hg19.bed.gz	TF_Yy1.h1ESC.hg19.bed.gz	TF_Znf143.h1ESC.hg19.bed.gz
1	0.37465	24.05978	8.82601	8.59305	18.98983	4.16029	11.42188	5.05611	29.04425	12.09037	7.45681	13.07626	53.31362	9.75989	28.97808	121.26145	23.85941	28.09243	9.82460	19.41502	2.88443	8.92817	3.45240	18.23919	17.33331	7.52684	18.17942	14.05618	13.56635	9.51106	7.36991	4.53047	9.56419	35.68316	12.05381	13.13151	21.52384	4.69827	11.53191	9.33586	12.78305	6.97603	79.33820	17.81282	14.21913	19.12196	16.10189	9.25540	9.70210	14.41348	13.37855	13.35957
2	4.34846	4.01595	0.85107	0.50643	0.86853	1.54895	0.42061	1.07689	1.21680	0.72804	0.55854	0.43224	3.17828	1.27363	1.47587	7.55223	1.03479	1.18322	0.27196	1.43818	0.12486	0.66678	0.93876	1.38895	1.04416	1.83058	0.39462	3.09005	1.10389	0.38527	0.42835	1.66580	1.26299	1.17821	1.87666	1.63932	1.16623	0.57983	1.38860	0.62156	0.52203	0.95856	6.92939	0.50407	0.50958	0.83823	1.71061	1.47501	1.83434	1.37957	1.00218	0.92152
3	83.85198	0.30041	0.22180	0.14805	0.23347	0.68464	0.06711	0.61315	0.07503	0.11349	0.18593	0.08424	0.15250	0.32918	0.12273	0.04246	0.17657	0.04877	0.05195	0.32426	0.00766	0.20599	0.65325	0.27299	0.09922	0.63213	0.02367	0.59525	0.31122	0.09703	0.13338	0.72539	0.35856	0.09051	0.33559	0.29669	0.10700	0.27003	0.30313	0.08751	0.05654	0.41219	0.26617	0.07483	0.08520	0.10139	0.38892	0.42457	0.52144	0.31093	0.26037	0.20359
4	3.79253	1.97552	0.64732	0.38003	0.41843	0.62881	0.20192	0.85753	0.19621	0.36840	0.21293	0.26122	0.27953	0.94642	0.42513	0.10875	0.52675	0.43507	0.47834	0.44695	0.04097	0.30796	0.91311	0.47127	0.32702	0.80007	0.11668	1.06016	0.40373	1.68874	3.23768	0.79986	0.80550	0.14920	0.60526	0.71609	0.41236	0.44850	0.53912	0.32768	0.29060	0.59879	0.88742	0.12345	0.22557	0.19486	0.58184	0.61592	0.85530	0.70509	0.43066	0.54854
5	0.58677	4.54685	5.79045	3.83357	3.03568	2.63685	2.58579	2.70372	2.02251	3.45632	4.11388	3.82814	2.73533	4.23079	2.31850	0.34214	2.81382	6.42327	1.55207	2.81148	0.26825	4.95041	2.70603	2.67630	3.31243	2.64390	1.22412	2.08678	3.50880	7.85880	12.10376	1.85903	4.10940	1.34852	3.04713	5.01897	4.20718	2.13304	3.34218	1.05153	3.76390	2.63840	1.61872	1.38424	2.34392	1.98352	3.68721	4.11543	3.14578	4.19915	3.65040	5.17511
6	2.73844	1.56232	1.57045	0.69378	1.71338	2.41324	0.30355	1.94258	0.55438	0.68567	2.04327	0.51829	1.42620	0.85988	0.94461	0.31457	0.75058	0.33492	0.23554	1.59574	0.03639	2.26807	2.25738	1.44562	0.72183	2.04301	0.11803	1.40669	1.77264	0.61291	0.68339	1.98443	0.91258	1.02548	1.56924	2.16525	0.97784	0.91415	1.94546	0.30024	0.53369	1.81939	1.07053	0.65413	0.41463	0.72371	2.08627	2.49171	1.84748	1.42027	1.07195	0.56286
7	0.78465	1.29663	2.10584	1.15328	1.83703	2.37393	0.27570	1.95754	0.54004	0.61995	2.27679	0.77550	1.36511	1.16672	0.85657	0.18097	0.98358	0.49862	0.30253	1.40223	0.04587	2.22515	2.10914	1.44824	0.61861	1.76549	0.09180	1.01909	1.68483	0.66006	0.53765	1.46609	1.18979	1.03617	0.66529	1.93957	0.98168	0.65052	1.57043	0.32700	0.77163	1.65125	0.31965	0.77625	0.50516	0.71207	1.72719	2.08484	1.81729	1.38079	1.42062	0.88419
8	0.44847	0.54081	0.65079	0.46067	0.72827	1.08235	0.07556	1.05197	0.38453	0.36740	0.66074	0.15838	0.42665	0.49345	0.36710	0.18712	0.39964	0.17103	0.04585	0.64499	0.05759	0.65977	1.10583	0.49542	0.19454	0.92760	0.06080	0.65596	0.58174	0.26353	0.36584	1.47645	0.52478	0.21802	0.34017	0.78221	0.23484	0.57271	0.58503	0.30084	0.11952	1.09252	0.33049	0.35339	0.16336	0.28816	0.80834	0.84212	0.93694	0.49696	0.45871	0.31310
9	0.48057	2.98211	10.73117	8.35176	11.24117	9.96692	2.94840	6.75786	1.12491	5.14414	34.59688	5.22356	4.84224	3.85378	4.74690	0.11831	4.04056	3.34932	3.33895	5.56902	0.11933	22.25655	10.09184	6.05896	4.45786	5.99836	1.15281	2.37788	10.12793	3.68633	3.91106	3.74458	4.23459	3.78687	5.56683	7.84922	4.30622	2.43006	8.13185	1.28092	4.02207	5.34026	0.55302	3.70300	3.06096	3.98650	8.87873	9.69518	4.80402	5.38354	5.04118	4.67187
10	0.51758	1.67311	4.69032	5.85285	9.36214	9.02473	1.22815	5.85281	0.33377	2.65431	21.59053	2.95832	2.30169	3.35711	2.11175	0.17602	2.70450	2.11290	0.95370	4.72008	0.02554	18.52770	9.80175	4.28619	2.90017	5.28848	0.84716	2.71368	5.59951	0.94814	1.19549	4.95029	3.71068	1.36072	4.14059	4.53532	2.53840	3.71404	5.26477	0.80559	1.48843	3.61187	0.35914	1.60529	1.20406	1.87760	6.14364	7.24789	3.91428	3.82343	3.43697	3.68118
