State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.61458	3.95800	4.48483	4.91462	5.77418	6.84773	8.01295	9.54678	11.11303	12.27280	12.97411	13.26901	12.66302	11.36478	9.90642	8.59552	7.41588	6.29738	5.34433	4.53156	3.87880
2	1.79168	1.79351	1.78016	1.78884	1.73771	1.66257	1.56960	1.43821	1.30636	1.22099	1.18706	1.20689	1.28203	1.38863	1.49894	1.60011	1.68098	1.74574	1.78618	1.80432	1.81021
3	0.74799	0.72708	0.70718	0.67958	0.64284	0.59884	0.55188	0.50517	0.47285	0.45568	0.44963	0.45491	0.46606	0.47876	0.49319	0.51281	0.53857	0.57048	0.60457	0.63706	0.66588
4	1.79850	1.78107	1.73930	1.70608	1.65723	1.59718	1.54796	1.49182	1.45558	1.45788	1.46818	1.49483	1.52592	1.56128	1.59769	1.62896	1.68438	1.75011	1.83964	1.94872	2.06810
5	2.65694	2.67528	2.60291	2.51909	2.47087	2.39624	2.30896	2.12065	2.03568	1.97252	1.97826	1.97941	2.02074	2.01616	2.09539	2.26072	2.45246	2.88876	3.39280	3.69365	3.88195
6	2.15864	2.20241	2.09806	1.99449	1.98637	1.87640	1.70147	1.44855	1.18334	1.05172	1.00670	1.02613	1.02367	1.05074	1.08813	1.28667	1.68374	2.30444	2.78885	3.09443	3.17832
7	1.66919	1.70266	1.71723	1.74986	1.73183	1.67859	1.59873	1.50685	1.20462	0.94875	0.90496	0.98653	1.00542	0.93931	0.96335	0.92815	0.97709	1.03376	1.11017	1.16599	1.21493
8	1.75015	1.84176	1.83573	1.81620	1.73057	1.70503	1.55330	1.19576	0.92086	0.74059	0.71204	0.75110	0.77514	0.85776	0.88030	0.90884	0.94189	0.97794	1.01700	1.08611	1.13418
9	1.53372	1.46361	1.42433	1.38928	1.35704	1.27853	1.24208	1.30235	1.41871	1.66823	1.58972	1.26729	1.05982	0.94627	0.87197	0.99534	1.03179	1.01637	1.04160	1.14254	1.13133
10	1.19236	1.17282	1.11293	0.99838	0.97235	0.92288	0.85389	0.85128	1.01919	1.26129	1.37583	0.82264	0.65603	0.61308	0.69248	0.65603	0.76147	0.80832	0.89033	0.96323	0.93199
11	7.55451	9.04582	10.77349	12.88369	14.67638	16.52932	17.61964	17.13399	14.55682	11.02473	7.52866	7.18450	9.20891	14.48498	21.94764	27.16686	28.15764	24.78437	20.13412	15.59289	12.15472
12	5.91536	6.55646	7.83157	9.21215	11.53393	14.17006	16.77749	20.30288	21.27088	14.67877	9.00300	10.65680	11.56585	13.86983	15.49148	15.61650	14.02878	12.61965	11.48734	10.16222	9.03527
13	5.21648	5.92927	7.08727	8.88816	11.51571	15.70654	21.69062	29.29789	38.49858	50.10635	58.93555	57.61492	53.01398	43.63481	31.71031	21.54790	14.82466	10.40002	7.28101	5.47018	4.23832
14	1.66052	1.72221	1.63253	1.48698	1.42643	1.38101	1.32045	1.30065	1.30880	1.46249	1.31694	1.06310	0.97461	0.90475	0.92105	0.94550	1.01304	1.10969	1.17839	1.22730	1.32861
