State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.46267	2.52115	2.60681	2.66953	2.73433	2.77823	2.78866	2.84716	2.90152	3.02691	3.11680	2.96211	2.77397	2.54405	2.35591	2.17614	2.04862	1.95455	1.86466	1.80824	1.78106
2	1.23374	1.23207	1.23139	1.23615	1.23780	1.23418	1.24058	1.24369	1.24828	1.26141	1.26535	1.26568	1.26010	1.25732	1.25223	1.24566	1.23630	1.22661	1.22119	1.21923	1.21561
3	0.85437	0.85373	0.85395	0.85313	0.85240	0.85313	0.85436	0.85388	0.85484	0.85525	0.85436	0.85747	0.86515	0.86910	0.87118	0.87384	0.87577	0.87614	0.87709	0.87801	0.87812
4	3.71347	3.78984	3.88293	3.97131	4.02148	4.11822	4.22090	4.33671	4.44182	4.50507	4.62212	4.73200	4.85741	4.94583	5.00197	5.08796	5.20501	5.28862	5.40327	5.44154	5.48454
5	3.79457	3.87263	3.99464	4.04836	4.18510	4.23393	4.24366	4.29245	4.38035	4.50727	4.63912	4.92235	5.11280	5.27888	5.74768	5.88442	5.98697	6.09928	6.04557	6.01632	6.04074
6	1.54141	1.52809	1.49670	1.51477	1.51105	1.51397	1.50306	1.49109	1.47275	1.44881	1.47539	1.47645	1.43951	1.42863	1.44617	1.43554	1.45839	1.44936	1.45148	1.44645	1.44565
7	1.47327	1.43989	1.44585	1.37916	1.34154	1.29622	1.31245	1.28593	1.29021	1.31243	1.38852	1.38339	1.33637	1.33980	1.33895	1.39367	1.36289	1.35776	1.34579	1.35007	1.39282
8	1.54976	1.55875	1.53617	1.55873	1.56324	1.54068	1.52487	1.55870	1.55080	1.50229	1.40868	1.36131	1.41206	1.48426	1.49554	1.43463	1.45042	1.44591	1.47072	1.51585	1.44141
9	1.38412	1.44427	1.38407	1.30240	1.23363	1.37117	1.26370	1.25939	1.12185	1.13473	1.22499	1.32815	1.30666	1.36255	1.40123	1.48290	1.54738	1.57317	1.59895	1.59037	1.56029
10	1.21385	1.09823	1.08042	0.98261	1.12489	1.12489	1.00038	1.00037	1.10708	1.14264	1.15598	1.24045	1.07150	0.94257	0.96036	1.11153	1.06706	1.18266	1.15599	1.12043	1.12043
11	3.90721	3.99869	3.95513	3.83153	3.95513	3.83840	3.87040	3.91614	3.89555	3.99621	3.94586	3.74216	3.36909	3.14024	2.93654	2.70079	2.45131	2.36205	2.27736	2.10572	2.15150
12	4.41374	4.33998	4.45918	4.36445	4.26622	4.23464	4.02761	3.83110	3.89425	3.86615	3.79949	3.78897	3.63109	3.44519	3.18557	3.11540	2.98560	3.03471	3.06278	3.07333	2.86634
13	4.81723	4.80767	4.82967	4.88649	4.86440	4.80442	4.63076	4.54549	4.25193	3.92834	3.55902	3.10763	2.67361	2.29011	2.04547	1.87344	1.75822	1.66194	1.63196	1.66038	1.67301
14	1.71458	1.80479	1.71677	1.73031	1.68745	1.62428	1.62652	1.68741	1.70772	1.72800	1.80470	1.84982	1.76184	1.86563	1.91075	1.89947	1.84307	2.01226	1.87014	1.79797	1.89046
