state (Emission order)	Genome %	CpG.hg19.bed.gz	Exons.Gencodev10.hg19.bed.gz	Genes.Gencodev10.hg19.bed.gz	Introns.Gencodev10.hg19.bed.gz	TES.Gencodev10.hg19.bed.gz	TES_2kbp.Gencodev10.hg19.bed.gz	TSS.Gencodev10.hg19.bed.gz	TSS_2kbp.Gencodev10.hg19.bed.gz	ZNF_genes.bed.gz
1	0.45105	44.95319	5.14905	1.22763	0.92818	3.08601	2.28392	11.85161	5.27517	0.61619
2	5.74135	1.55237	1.42590	1.03318	1.00470	1.26397	1.26961	1.05565	1.48623	0.36899
3	85.21136	0.19276	0.78980	0.95381	0.96599	0.85477	0.89200	0.47346	0.77103	1.01444
4	0.78945	0.79694	5.11418	1.68305	1.42313	4.60520	3.66344	1.62376	2.16842	1.69385
5	0.19308	0.69474	4.67728	1.73623	1.51415	4.63229	3.31083	2.16520	2.38434	0.69028
6	3.54745	0.31945	1.45249	1.37046	1.36713	1.47556	1.34891	1.25063	1.70331	0.87325
7	1.10277	0.14855	1.36197	1.36895	1.37248	1.39136	1.31611	1.15138	1.59319	0.79055
8	0.83599	0.09377	1.28513	1.44527	1.46067	1.41401	1.50742	0.80303	1.59514	0.89852
9	0.21936	0.25875	1.37631	1.26591	1.26034	1.21626	1.30601	1.73645	1.46454	0.77944
10	0.21207	0.20630	1.04201	1.15447	1.16567	1.16408	1.01277	1.60510	1.16599	0.61611
11	0.41195	18.84488	4.44118	1.46381	1.23775	3.92280	2.62894	11.49258	7.90217	4.11056
12	0.26875	10.76625	4.32556	1.54143	1.33052	3.79079	2.62797	8.96889	6.83485	1.67895
13	0.59740	68.92496	8.80176	1.63304	1.08443	3.56012	2.78373	53.09950	9.72556	3.69265
14	0.41796	0.75134	1.79042	1.14923	1.10205	1.81508	1.65279	1.39774	1.46190	0.76129
Base	100	0.68328	3.50523	49.34249	45.71419	0.00340	10.22906	0.00478	9.57817	0.68770
