state (Emission order)	Genome %	DNase.bed.gz	TF_Atf2_Haib.bed.gz	TF_Atf3_Haib.bed.gz	TF_Batf_Haib.bed.gz	TF_Bcl11a_Haib.bed.gz	TF_Bcl3_Haib.bed.gz	TF_Bclaf_Haib.bed.gz	TF_Bhlhe_Sydh.bed.gz	TF_Brca1_Sydh.bed.gz	TF_Cebpb_Haib.bed.gz	TF_Cfos_Sydh.bed.gz	TF_Chd1_Sydh.bed.gz	TF_Chd2_Sydh.bed.gz	TF_Cmyc_Uta.bed.gz	TF_Corest_Sydh.bed.gz	TF_Ctcf_Broad.bed.gz	TF_Ctcf_Sydh.bed.gz	TF_Ctcf_Uta.bed.gz	TF_Ctcf_Uw.bed.gz	TF_E2f4_Sydh.bed.gz	TF_Ebf1_Haib.bed.gz	TF_Ebf1_Sydh.bed.gz	TF_Egr1_Haib.bed.gz	TF_Elf1_Haib.bed.gz	TF_Elk1_Sydh.bed.gz	TF_Ets1_Haib.bed.gz	TF_Ezh2_Broad.bed.gz	TF_Foxm1_Haib.bed.gz	TF_Gabp_Haib.bed.gz	TF_Gcn5_Sydh.bed.gz	TF_Ikzf1_Sydh.bed.gz	TF_Irf3_Sydh.bed.gz	TF_Irf4_Haib.bed.gz	TF_Jund_Sydh.bed.gz	TF_Max_Sydh.bed.gz	TF_Maz_Sydh.bed.gz	TF_Mef2a_Haib.bed.gz	TF_Mef2c_Haib.bed.gz	TF_Mta3_Haib.bed.gz	TF_Mxi_Sydh.bed.gz	TF_Nfat_Haib.bed.gz	TF_Nfe2_Sydh.bed.gz	TF_Nfic_Haib.bed.gz	TF_NfkbTnfa_Sydh.bed.gz	TF_Nfya_Sydh.bed.gz	TF_Nfyb_Sydh.bed.gz	TF_Nrf1_Sydh.bed.gz	TF_Nrsf_Haib.bed.gz	TF_P300Iggmus_Sydh.bed.gz	TF_P300_Haib.bed.gz	TF_P300b_Sydh.bed.gz	TF_Pax5c20_Haib.bed.gz	TF_Pax5n19_Haib.bed.gz	TF_Pbx3_Haib.bed.gz	TF_Pml_Haib.bed.gz	TF_Pol24h8_Haib.bed.gz	TF_Pol2Iggmus_Sydh.bed.gz	TF_Pol2_Haib.bed.gz	TF_Pol2_Sydh.bed.gz	TF_Pol2_Uta.bed.gz	TF_Pol2s2_Sydh.bed.gz	TF_Pol3_Sydh.bed.gz	TF_Pou2f2_Haib.bed.gz	TF_Pu1_Haib.bed.gz	TF_Rad21_Haib.bed.gz	TF_Rad21_Sydh.bed.gz	TF_Rfx5_Sydh.bed.gz	TF_Runx3_Haib.bed.gz	TF_Rxra_Haib.bed.gz	TF_Sin3a_Sydh.bed.gz	TF_Six5_Haib.bed.gz	TF_Smc3_Sydh.bed.gz	TF_Sp1_Haib.bed.gz	TF_Spt20_Sydh.bed.gz	TF_Srf_Haib.bed.gz	TF_Stat1_Sydh.bed.gz	TF_Stat3_Sydh.bed.gz	TF_Stat5_Haib.bed.gz	TF_Taf1_Haib.bed.gz	TF_Tblr1_Sydh.bed.gz	TF_Tbp_Sydh.bed.gz	TF_Tcf12_Haib.bed.gz	TF_Tcf3_Haib.bed.gz	TF_Tr4_Sydh.bed.gz	TF_Usf1_Haib.bed.gz	TF_Usf2_Sydh.bed.gz	TF_Whip_Sydh.bed.gz	TF_Yy1_Haib.bed.gz	TF_Yy1_Sydh.bed.gz	TF_Zbtb33_Haib.bed.gz	TF_Zeb1_Haib.bed.gz	TF_Znf143_Sydh.bed.gz	TF_Znf274_Sydh.bed.gz	TF_Zzz3_Sydh.bed.gz
1	0.36601	8.19986	1.67758	5.16476	1.27087	2.00232	3.34588	3.09686	5.66843	0.58309	1.91565	2.84396	4.01338	3.89892	5.68952	3.18041	7.28301	7.41136	7.58404	7.65243	3.51749	5.36718	4.44078	9.71854	7.40458	2.54916	2.13482	75.80700	2.63356	3.24425	8.34839	1.90972	0.30130	2.17889	0.42786	6.18295	7.80375	1.90270	1.97942	2.38771	4.61856	1.93347	4.09681	1.39705	2.32242	2.19691	4.09983	5.54052	14.60398	2.22306	2.95717	1.61195	4.73864	4.15754	5.23167	2.51109	3.03456	3.98512	5.37141	2.82999	3.76020	2.93130	0.02498	3.24710	2.42797	5.77388	5.54633	3.57347	3.04400	2.37134	4.66307	1.30767	5.95499	3.98877	6.17446	4.26107	9.30319	1.55371	2.68982	3.27429	3.12553	3.02861	5.23788	5.60038	6.23139	7.51116	4.69709	3.15744	5.52251	0.72644	3.50209	9.17818	7.38023	3.61448	16.38351
2	3.40994	1.35377	0.96185	0.59317	1.05791	1.25568	1.77324	0.68376	1.12860	0.04553	1.14117	0.46151	0.68133	0.81387	0.37958	0.98786	0.76030	0.87583	0.85654	0.62639	0.20035	1.67973	1.83216	0.79576	0.77506	0.39090	0.39265	4.34112	0.81282	0.30004	0.00000	1.36696	0.05734	1.05703	0.71808	0.73529	0.77243	0.92377	0.88919	1.02693	0.64708	1.43384	0.69274	0.99999	1.36016	0.27687	1.04142	0.11006	2.67556	1.12749	1.27590	1.21708	1.04613	1.27563	1.41665	0.78379	0.83217	0.71577	0.61139	0.43994	0.68795	0.57739	0.00000	0.96584	1.39466	0.58397	0.51566	0.58555	1.05096	0.74577	0.48017	0.28968	0.43819	0.97896	1.29233	0.76026	1.04628	0.85017	1.20266	0.58806	0.97601	0.81809	1.36067	1.32471	1.63377	1.43907	0.94340	0.99511	0.58523	0.72589	0.75690	1.02083	0.31595	0.00000	2.08394
3	86.86150	0.39701	0.54506	0.11895	0.65597	0.63805	0.53481	0.22925	0.37370	0.02537	0.51876	0.07691	0.23304	0.27613	0.05937	0.31624	0.24728	0.29870	0.25208	0.17752	0.04894	0.47295	0.58743	0.15896	0.15157	0.11457	0.09933	0.19652	0.44103	0.06223	0.05746	0.62546	0.00927	0.52151	0.63920	0.15896	0.16023	0.58657	0.57594	0.46744	0.20754	0.54769	0.22251	0.61436	0.54897	0.08964	0.49409	0.02929	0.44104	0.60268	0.47475	0.66547	0.40982	0.47353	0.35682	0.30270	0.20400	0.19430	0.15510	0.08422	0.13021	0.15528	0.06004	0.36950	0.65855	0.23733	0.21008	0.21173	0.53682	0.19980	0.09311	0.12023	0.16223	0.32195	0.07675	0.26870	0.18263	0.50781	0.44917	0.15651	0.41392	0.30710	0.38259	0.34699	0.36719	0.28127	0.33044	0.26398	0.21414	0.45249	0.18566	0.16833	0.07180	0.87126	0.44644
4	0.69144	1.72634	1.53660	0.49810	1.37766	1.58777	2.26605	1.57881	1.03647	0.00000	1.59753	0.19707	0.75597	0.83563	0.21840	1.11773	0.78086	0.85099	0.75726	0.67013	0.38743	1.50465	1.45438	0.69512	0.64363	0.44452	0.44027	0.97511	1.20737	0.35421	0.88383	1.43305	0.00000	1.31141	1.13771	0.69940	0.61119	1.44148	1.34903	1.98008	0.83883	2.97439	0.48933	1.64650	1.46442	0.40575	0.85807	0.13744	0.70709	1.55907	1.19839	1.53901	1.24483	1.45235	1.29559	1.46678	7.35479	2.15973	5.34071	0.94578	1.61418	3.42033	0.00000	1.26180	1.55834	0.64455	0.61044	0.41740	1.41478	1.66063	0.39140	0.24234	0.54422	0.92196	0.00000	0.85459	0.95516	1.21144	2.19390	0.50376	1.20681	0.79625	1.14934	1.27983	2.73220	0.80410	0.91922	1.14119	0.71594	0.54852	1.14002	0.58560	0.27345	1.46812	3.02977
5	0.18484	4.91961	3.31935	3.45700	2.72468	2.86146	4.16521	5.85857	2.93893	0.00000	4.32613	0.92733	2.30119	2.89959	0.73270	2.64944	3.75096	3.45704	3.85018	3.87554	1.00843	3.99114	3.38289	2.33627	3.25680	1.36991	1.32435	2.92859	3.68052	0.82660	5.76061	2.66370	0.34593	3.50512	3.58640	2.29592	2.80949	3.22792	2.52959	5.51034	2.82658	6.83439	4.22933	3.01694	3.05947	0.80091	1.39051	0.96935	1.50382	2.81756	2.98045	3.14320	3.38781	3.82181	3.49282	4.05653	16.20253	5.75171	11.20383	4.41079	4.62206	9.62452	1.85002	4.58343	3.03790	3.59087	3.65706	2.52929	3.31106	4.58712	1.37529	0.55517	3.95851	2.35627	0.00000	3.27587	3.38746	3.58098	6.61496	1.36062	3.17742	1.70561	3.34263	3.44584	5.19579	3.26855	3.22822	6.08636	3.30881	1.90707	3.23256	3.59135	4.06228	0.00000	3.33609
6	4.03126	2.71111	2.98918	0.95787	3.24646	3.35840	3.12682	1.88377	2.60100	0.00803	3.41190	0.46509	1.83540	2.04863	0.76376	2.29775	1.14231	1.23148	1.10647	0.97571	0.44239	3.33874	3.21511	1.72154	1.66314	1.11750	0.81099	1.50597	2.60308	0.62137	0.34970	4.02437	0.07448	2.97124	3.77589	1.63355	1.63804	2.76542	2.77810	2.96748	1.86263	3.14664	1.25321	3.08092	3.09549	0.46102	1.71208	0.37357	1.28596	3.10074	3.24898	3.54006	2.36879	2.78660	2.74961	2.01392	1.68539	1.71382	1.45172	0.85636	1.16784	1.12983	0.39329	2.31902	2.84480	1.15621	1.09103	1.37529	2.81125	1.43491	1.09662	0.51642	1.09190	2.29251	0.00000	1.71683	1.72551	3.04288	2.66385	1.30435	2.68322	2.07218	2.79267	2.64505	2.28867	2.21198	2.55408	2.95131	1.46041	2.31036	0.99679	1.59569	0.72496	0.24755	1.88954
7	1.21152	2.92781	4.32092	1.25458	4.45785	4.63021	4.30412	2.96286	3.37594	0.00000	5.45911	0.79476	3.13221	2.96896	0.99285	3.07673	1.85344	1.81787	1.72266	1.71489	0.75164	4.41821	4.25087	2.22930	2.28969	1.70041	1.21694	1.68722	3.82844	0.85309	0.51970	5.88477	0.25242	4.02345	5.84460	2.28662	2.40325	3.86742	3.89761	4.41667	2.39843	4.19953	1.81101	4.40354	4.31788	0.57998	2.07145	0.43664	1.07986	4.50099	4.92884	5.35564	3.09298	3.74318	3.26242	3.08413	2.18614	2.50209	1.51315	1.34684	1.84288	1.49953	0.08453	3.04916	3.26510	2.06769	2.08388	1.91537	3.62631	2.39514	1.47202	0.50080	2.24028	3.22351	0.00000	2.63797	2.33687	4.83370	4.22433	1.88143	3.68607	3.21955	3.67120	3.33833	0.94553	2.51818	3.08267	3.62429	2.46098	2.98275	1.10705	2.52593	1.75712	0.15001	2.00771
8	0.60651	1.35327	1.70184	0.96207	1.73445	1.69614	1.57096	0.87758	1.34553	0.09042	1.90593	0.84251	0.98587	1.14390	0.51056	1.03760	0.55213	0.58478	0.50485	0.45589	0.42144	1.37183	1.46214	1.33014	0.69033	0.68645	0.75544	0.65839	1.42863	0.57056	0.28625	1.91640	0.16502	1.38703	2.58909	0.58629	0.94781	1.87974	1.63531	1.41878	0.93777	1.48233	1.32700	1.79774	1.63740	0.62642	1.24281	0.78483	0.47607	1.75658	1.68562	1.87538	1.29898	1.34270	1.42324	1.06181	0.80707	1.15297	0.93910	0.54853	0.86340	0.70522	0.00000	1.21445	1.45963	0.60111	0.50686	0.66199	1.41474	0.42199	0.44421	0.61962	0.48739	1.43724	0.00000	1.03825	0.99852	1.77058	1.37560	0.91954	1.26364	1.22992	1.21717	1.19056	0.71971	1.06625	1.28460	0.90503	1.03270	1.52662	0.63441	0.66817	0.44520	0.00000	1.44394
9	0.22936	7.34979	11.86575	5.97994	13.86307	13.96114	13.73588	11.45413	10.60166	2.10578	14.09481	3.81290	7.92227	9.93249	3.01654	10.11111	5.66610	5.74373	6.18788	5.90796	2.88619	11.66862	9.75446	7.93112	8.52561	5.20017	5.04314	4.20882	10.91831	3.34191	7.26647	13.28375	0.00000	13.45811	21.30682	7.46285	7.49318	10.40261	11.25859	10.23153	7.17018	11.51483	4.30019	10.00007	10.38953	2.83940	5.37892	3.67648	3.18305	11.43729	16.91495	16.79279	9.44697	11.43036	10.56995	8.68756	6.03525	6.60209	5.05758	3.86930	4.65965	4.31629	1.59457	9.66010	6.36241	7.69696	7.72528	7.65722	8.36655	10.92731	3.81255	1.37247	7.90069	10.67066	29.06589	11.10058	6.09266	12.01276	10.29411	5.52158	10.08031	8.81002	11.71300	11.70085	2.95509	8.04779	10.38369	8.63990	7.31943	4.61018	4.56254	10.58318	7.13884	1.42053	1.24813
10	0.42862	5.04050	6.01719	2.40646	10.70849	8.54716	7.29640	5.57897	4.94384	0.30831	6.32689	3.29061	2.19691	4.01153	1.46054	4.37350	3.50502	3.74849	3.91767	3.99806	1.32291	6.14625	5.72547	3.27228	3.79592	2.49015	1.90328	2.69916	5.44633	1.92940	0.98833	6.21411	2.97069	8.02725	14.68827	2.89599	3.21471	5.92335	5.98808	5.00346	2.98584	5.67100	2.65517	5.33417	4.96364	2.13853	3.43840	1.53939	2.49262	6.06185	6.98736	7.91218	5.27097	6.01639	6.87890	3.44571	1.53715	2.39503	1.97051	1.37339	1.43537	1.22015	5.49953	5.14468	3.73342	4.86368	4.54358	3.98839	5.20347	5.57736	1.55570	1.85132	4.60833	5.15551	0.00000	4.62690	2.44309	5.66782	4.59147	1.90151	4.68420	3.28244	6.10653	5.71608	1.90318	4.35306	5.06628	3.56305	4.00190	2.47851	2.19636	4.11089	4.55543	0.00000	1.31469
