state (Emission order)	Genome %	regions_enh_E057.bed.gz	regions_enh_E058.bed.gz	regions_prom_E057.bed.gz	regions_prom_E058.bed.gz
1	0.36601	2.79204	2.66501	9.90215	5.10239
2	3.40994	0.23687	0.18310	0.24270	0.16057
3	86.86150	0.15943	0.13989	0.02919	0.03154
4	0.69144	0.72882	0.79388	0.06201	0.03285
5	0.18484	10.30157	10.89316	0.93653	0.88609
6	4.03126	9.41100	9.48474	1.07199	1.08718
7	1.21152	15.66427	16.09250	1.14768	1.18610
8	0.60651	2.41562	2.51072	0.82995	0.85231
9	0.22936	33.62325	34.73190	2.71509	2.75001
10	0.42862	24.37499	25.65496	1.43308	1.48001
11	0.60215	1.88065	1.95443	42.84595	43.17312
12	0.42271	6.08564	6.12523	43.97090	44.99663
13	0.40966	0.16134	0.12001	97.52947	100.01917
14	0.54449	2.94394	3.03915	1.84472	1.95860
Base	100	1.57341	1.64347	0.85607	0.82688
